"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"제가","14","","","",""
"때는","14","","","",""
"아이들이","14","","","",""
"1명당","14","","","",""
"않습니다","14","","","",""
"25","13","","","",""
"10명","13","","","",""
"사는","13","","","",""
"있기","13","","","",""
"반면","13","","","",""
"분야","13","","","",""
"국민","13","","","",""
"있도록","13","","","",""
"못","13","","","",""
"어려운","13","","","",""
"점점","13","","","",""
"그의","13","","","",""
"인간","13","","","",""
"취미가","13","","","",""
"많다","13","","","",""
"하고","13","","","",""
"걸","13","","","",""
"겁니다","13","","","",""
"책읽기를","13","","","",""
"읽으며","13","","","",""
"느낄","13","","","",""
"번","13","","","",""
"15","12","","","",""
"16","12","","","",""
"18","12","","","",""
"19","12","","","",""
"2010","12","","","",""
"인터넷","12","","","",""
"2년","12","","","",""
"학생이","12","","","",""
"같다","12","","","",""
"만드는","12","","","",""
"역사","12","","","",""
"아는","12","","","",""
"사회","12","","","",""
"독서와","12","","","",""
"가지","12","","","",""
"통한","12","","","",""
"40대","12","","","",""
"인간이","12","","","",""
"2019년보다","12","","","",""
"필요가","12","","","",""
"글","12","","","",""
"저자","12","","","",""
"이유를","12","","","",""
"중요성을","12","","","",""
"지식과","12","","","",""
"단순히","12","","","",""
"있어요","12","","","",""
"읽기가","12","","","",""
"그것을","12","","","",""
"하지만","12","","","",""
"되었다","12","","","",""
"삶의","12","","","",""
"신간","12","","","",""
"이전","12","","","",""
"jpg","12","","","",""
"이유가","12","","","",""
"‘60","12","","","",""
"이야기","12","","","",""
"문장을","12","","","",""
"우리의","12","","","",""
"종합","12","","","",""
"20","11","","","",""
"26","11","","","",""
"30","11","","","",""
"40","11","","","",""
"일은","11","","","",""
"학교에서","11","","","",""
"가는","11","","","",""
"전에","11","","","",""
"독자","11","","","",""
"생각한다","11","","","",""
"있어","11","","","",""
"종이책과","11","","","",""
"세","11","","","",""
"성인의","11","","","",""
"사회적","11","","","",""
"먼저","11","","","",""
"발표한","11","","","",""
"수도","11","","","",""
"꾸준히","11","","","",""
"읽기의","11","","","",""
"역할을","11","","","",""
"블로그","11","","","",""
"by","11","","","",""
"재미있는","11","","","",""
"학생들이","11","","","",""
"문제가","11","","","",""
"그것은","11","","","",""
"책읽기","11","","","",""
"능력이","11","","","",""
"텍스트를","11","","","",""
"들어","11","","","",""
"종이책으로","11","","","",""
"전자책으로","11","","","",""
"전자책의","11","","","",""
"댓글","11","","","",""
"시대","11","","","",""
"인생을","11","","","",""
"결과를","11","","","",""
"당신의","11","","","",""
"못하는","11","","","",""
"서울","11","","","",""
"사진","11","","","",""
"만들어","11","","","",""
"요즘","11","","","",""
"독서습관","11","","","",""
"따","11","","","",""
"않습니까","11","","","",""
"책읽아웃","11","","","",""
"13","10","","","",""
"페이지를","10","","","",""
"도서를","10","","","",""
"자체가","10","","","",""
"관련된","10","","","",""
"따른","10","","","",""
"만한","10","","","",""
"이용","10","","","",""
"간","10","","","",""
"말하는","10","","","",""
"베스트셀러","10","","","",""
"좋아하는","10","","","",""
"일을","10","","","",""
"문화","10","","","",""
"본","10","","","",""
"실제","10","","","",""
"책만","10","","","",""
"나아가","10","","","",""
"읽었다고","10","","","",""
"마음을","10","","","",""
"읽는다고","10","","","",""
"저자의","10","","","",""
"생각하고","10","","","",""
"있지","10","","","",""
"그것이","10","","","",""
"시대의","10","","","",""
"03","10","","","",""
"만들기","10","","","",""
"명사에게","10","","","",""
"‘책","10","","","",""
"저자는","10","","","",""
"가까이","10","","","",""
"원하는","10","","","",""
"보다","10","","","",""
"인해","10","","","",""
"학습","10","","","",""
"위해서는","10","","","",""
"코로나","10","","","",""
"때문입니다","10","","","",""
"아이들은","10","","","",""
"독서법","10","","","",""
"때까지","10","","","",""
"기능을","10","","","",""
"24","9","","","",""
"28","9","","","",""
"31","9","","","",""
"50","9","","","",""
"59","9","","","",""
"쓰기","9","","","",""
"있어야","9","","","",""
"입력","9","","","",""
"문화체육관광부가","9","","","",""
"읽는다는","9","","","",""
"꼽았다","9","","","",""
"미국","9","","","",""
"선호하는","9","","","",""
"갈수록","9","","","",""
"p","9","","","",""
"얻을","9","","","",""
"이상의","9","","","",""
"사실을","9","","","",""
"등의","9","","","",""
"작가의","9","","","",""
"무엇을","9","","","",""
"kr","9","","","",""
"amp","9","","","",""
"보면","9","","","",""
"미치는","9","","","",""
"없다고","9","","","",""
"30대","9","","","",""
"질문을","9","","","",""
"저자가","9","","","",""
