"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"크게","30","","","",""
"등의","30","","","",""
"인간의","30","","","",""
"Coyright","30","","","",""
"ng","30","","","",""
"어려운","30","","","",""
"지금","30","","","",""
"라이프","30","","","",""
"역사","29","","","",""
"The","29","","","",""
"문제가","29","","","",""
"일을","29","","","",""
"h","29","","","",""
"일이","29","","","",""
"해서","29","","","",""
"장르소설","29","","","",""
"자신이","29","","","",""
"해야","29","","","",""
"같습니다","29","","","",""
"하고","29","","","",""
"이미지","29","","","",""
"겁니다","29","","","",""
"환경","28","","","",""
"아닌","28","","","",""
"출판사","28","","","",""
"종이책과","28","","","",""
"말하는","28","","","",""
"더욱","28","","","",""
"올해","28","","","",""
"항상","28","","","",""
"All","28","","","",""
"인사","28","","","",""
"뒤","28","","","",""
"책으로","28","","","",""
"김","28","","","",""
"있어요","28","","","",""
"종이책의","28","","","",""
"전자책의","28","","","",""
"소공인","28","","","",""
"아는","27","","","",""
"이제","27","","","",""
"영향을","27","","","",""
"이는","27","","","",""
"되지","27","","","",""
"있어서","27","","","",""
"읽기를","27","","","",""
"국제","27","","","",""
"사설","27","","","",""
"그냥","27","","","",""
"시간을","27","","","",""
"한다는","27","","","",""
"않습니다","27","","","",""
"보다","27","","","",""
"eb","27","","","",""
"전혀","26","","","",""
"지금은","26","","","",""
"독서량은","26","","","",""
"htt","26","","","",""
"공유하기","26","","","",""
"말한다","26","","","",""
"것처럼","26","","","",""
"분야의","26","","","",""
"시를","26","","","",""
"전국","26","","","",""
"문의","26","","","",""
"기사제보","26","","","",""
"세상에","26","","","",""
"인터뷰","26","","","",""
"카카오톡","26","","","",""
"리터러시","26","","","",""
"아이들이","26","","","",""
"of","25","","","",""
"있지","25","","","",""
"권으로","25","","","",""
"없어서","25","","","",""
"주로","25","","","",""
"정도","25","","","",""
"경험이","25","","","",""
"실제로","25","","","",""
"차이가","25","","","",""
"미래","25","","","",""
"숨","25","","","",""
"결","25","","","",""
"이태원","25","","","",""
"단순히","25","","","",""
"걸","25","","","",""
"고","25","","","",""
"시인의","25","","","",""
"곳","25","","","",""
"우리나라","24","","","",""
"지난해","24","","","",""
"쓰고","24","","","",""
"출판","24","","","",""
"nd","24","","","",""
"이미","24","","","",""
"대상으로","24","","","",""
"있어","24","","","",""
"않았다","24","","","",""
"있도록","24","","","",""
"서점","24","","","",""
"장서","24","","","",""
"높은","24","","","",""
"자주","24","","","",""
"IT","24","","","",""
"아베","24","","","",""
"피격","24","","","",""
"사망","24","","","",""
"세상읽기","24","","","",""
"편집국에서","24","","","",""
"못한","24","","","",""
"등록","24","","","",""
"글씨","24","","","",""
"ds","24","","","",""
"사람의","24","","","",""
"능력을","24","","","",""
"도","24","","","",""
"듣다","24","","","",""
"대한민국","24","","","",""
"천","24","","","",""
"A","23","","","",""
"못하는","23","","","",""
"베스트셀러","23","","","",""
"학생이","23","","","",""
"만드는","23","","","",""
"결과","23","","","",""
"먼저","23","","","",""
"통한","23","","","",""
"미디어","23","","","",""
"reserved","23","","","",""
"들어","23","","","",""
"학생들이","23","","","",""
"학교가","23","","","",""
"읽게","23","","","",""
"이전","23","","","",""
"꿈","22","","","",""
"만원","22","","","",""
"처음","22","","","",""
"책도","22","","","",""
"저자","22","","","",""
"홈","22","","","",""
"이에","22","","","",""
"작가","22","","","",""
"서로","22","","","",""
"읽는다","22","","","",""
"대통령실","22","","","",""
"이상민","22","","","",""
"무인기","22","","","",""
"확인","22","","","",""
"프린트","22","","","",""
"여행","22","","","",""
"읽으면서","22","","","",""
"점점","22","","","",""
"취미가","22","","","",""
"방법","22","","","",""
"e","22","","","",""
"인간은","22","","","",""
"오늘의","22","","","",""
"전자책이","22","","","",""
"골목관리사가","22","","","",""
"여성","21","","","",""
"장은수","21","","","",""
"년간","21","","","",""
"기고","21","","","",""
"조사","21","","","",""
"말했다","21","","","",""
"주는","21","","","",""
"있기","21","","","",""
"젊은","21","","","",""
"하지만","21","","","",""
"회원가입","21","","","",""
"메뉴","21","","","",""
"규제","21","","","",""
"달","21","","","",""
"나아가","21","","","",""
"거죠","21","","","",""
"특정","21","","","",""
"학교는","21","","","",""
"생각하는","21","","","",""
"종이책은","21","","","",""
"리뷰","21","","","",""
"단계","21","","","",""
"디지탈","21","","","",""
"the","20","","","",""
"시간","20","","","",""
"국민","20","","","",""
"독서량이","20","","","",""
"지원","20","","","",""
"시대에","20","","","",""
"카카오스토리","20","","","",""
"가는","20","","","",""
"관련된","20","","","",""
"반면","20","","","",""
"자료를","20","","","",""
"만한","20","","","",""
"보면","20","","","",""
"작가의","20","","","",""
"무엇을","20","","","",""
"좋아하는","20","","","",""
"있을까","20","","","",""
"고객센터","20","","","",""
"영향","20","","","",""
"htl","20","","","",""
"카드뉴스","20","","","",""
"한겨레TV","20","","","",""
"원희룡","20","","","",""
"매일","20","","","",""
