"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"baromètre","14","","","",""
"collège","14","","","",""
"appareil","14","","","",""
"58","13","","","",""
"cause","13","","","",""
"min","13","","","",""
"sondage","13","","","",""
"an","13","","","",""
"intérêt","13","","","",""
"supports","13","","","",""
"tablette","13","","","",""
"auteur","13","","","",""
"dernière","13","","","",""
"loin","13","","","",""
"comprendre","13","","","",""
"classique","13","","","",""
"une","13","","","",""
"crise","13","","","",""
"derniers","13","","","",""
"bandes","13","","","",""
"minutes","13","","","",""
"contenu","13","","","",""
"janvier","13","","","",""
"figaro","13","","","",""
"message","13","","","",""
"enquêtes","13","","","",""
"commentaires","13","","","",""
"cyclisme","13","","","",""
"voix","13","","","",""
"analyse","13","","","",""
"vivlio","13","","","",""
"librairie","13","","","",""
"menée","13","","","",""
"droit","13","","","",""
"65","12","","","",""
"actualité","12","","","",""
"vincent","12","","","",""
"contenus","12","","","",""
"musique","12","","","",""
"pourtant","12","","","",""
"or","12","","","",""
"professeur","12","","","",""
"aimer","12","","","",""
"idées","12","","","",""
"cerveau","12","","","",""
"apprendre","12","","","",""
"grandes","12","","","",""
"orthographe","12","","","",""
"enfance","12","","","",""
"harry","12","","","",""
"potter","12","","","",""
"sûr","12","","","",""
"situation","12","","","",""
"cours","12","","","",""
"achat","12","","","",""
"adolescence","12","","","",""
"actu","12","","","",""
"partir","12","","","",""
"suppression","12","","","",""
"fr","12","","","",""
"lisez","12","","","",""
"explique","12","","","",""
"médias","12","","","",""
"maison","12","","","",""
"à","12","","","",""
"bibliothèques","12","","","",""
"bibliothèque","12","","","",""
"titres","12","","","",""
"manga","12","","","",""
"littéraire","12","","","",""
"bookeen","12","","","",""
"montre","12","","","",""
"39","11","","","",""
"44","11","","","",""
"81","11","","","",""
"souligne","11","","","",""
"constat","11","","","",""
"majorité","11","","","",""
"ventes","11","","","",""
"idée","11","","","",""
"sens","11","","","",""
"œuvres","11","","","",""
"littéraires","11","","","",""
"milieu","11","","","",""
"occasion","11","","","",""
"tête","11","","","",""
"scolaires","11","","","",""
"série","11","","","",""
"petits","11","","","",""
"genres","11","","","",""
"chiffre","11","","","",""
"culturelles","11","","","",""
"découvrir","11","","","",""
"pandémie","11","","","",""
"imprimés","11","","","",""
"ensemble","11","","","",""
"the","11","","","",""
"cadre","11","","","",""
"soir","11","","","",""
"primaire","11","","","",""
"moitié","11","","","",""
"générations","11","","","",""
"précise","11","","","",""
"imprimé","11","","","",""
"disent","11","","","",""
"établissements","11","","","",""
"réalisé","11","","","",""
"trouver","11","","","",""
"33","10","","","",""
"500","10","","","",""
"publiée","10","","","",""
"face","10","","","",""
"quotidienne","10","","","",""
"accueil","10","","","",""
"développement","10","","","",""
"lisaient","10","","","",""
"non","10","","","",""
"book","10","","","",""
"vient","10","","","",""
"globalement","10","","","",""
"côté","10","","","",""
"partout","10","","","",""
"après","10","","","",""
"passer","10","","","",""
"jouer","10","","","",""
"forcément","10","","","",""
"personnages","10","","","",""
"donne","10","","","",""
"grand","10","","","",""
"éditeurs","10","","","",""
"mesure","10","","","",""
"importante","10","","","",""
"moyen","10","","","",""
"presque","10","","","",""
"dessinées","10","","","",""
"https","10","","","",""
"importance","10","","","",""
"quart","10","","","",""
"déclaré","10","","","",""
"mis","10","","","",""
"sondés","10","","","",""
"majoritairement","10","","","",""
"histoires","10","","","",""
"envoyer","10","","","",""
"moments","10","","","",""
"rédaction","10","","","",""
"premiers","10","","","",""
"tour","10","","","",""
"raisons","10","","","",""
"haute","10","","","",""
"web","10","","","",""
"scolaire","10","","","",""
"ministère","10","","","",""
"intensive","10","","","",""
"offre","10","","","",""
"fnac","10","","","",""
"décembre","10","","","",""
"régine","10","","","",""
"hatchondo","10","","","",""
"partager","10","","","",""
"statistiques","10","","","",""
"affirment","10","","","",""
"second","10","","","",""
"22","9","","","",""
"31","9","","","",""
"34","9","","","",""
"38","9","","","",""
"55","9","","","",""
"84","9","","","",""
"2014","9","","","",""
"forte","9","","","",""
"lorsqu","9","","","",""
"lieu","9","","","",""
"benoît","9","","","",""
"rôle","9","","","",""
"cinéma","9","","","",""
"mentions","9","","","",""
"légales","9","","","",""
"lisons","9","","","",""
"demandé","9","","","",""
"le","9","","","",""
"page","9","","","",""
